"","Sex","Race.ethnicity","Type.of.violent.crime","Year","Count","Standard.Error.on.Count","Note.on.Count","sd"
"1","Male","White","Serious violent crime","2000",553060,78395," Includes rape, sexual assault, robbery, and aggravated assault.",0.141747730806784
"2","Male","White","Serious violent crime","2001",432390,61717.5," Includes rape, sexual assault, robbery, and aggravated assault.",0.142735724692986
"3","Male","White","Serious violent crime","2002",304630,55063.9," Includes rape, sexual assault, robbery, and aggravated assault.",0.180756655615008
"4","Male","White","Serious violent crime","2003",354200,58304," Includes rape, sexual assault, robbery, and aggravated assault.",0.164607566346697
"5","Male","White","Serious violent crime","2004",356160,53561.9," Includes rape, sexual assault, robbery, and aggravated assault.",0.150387185534591
"6","Male","White","Serious violent crime","2005",305940,53748.1," Includes rape, sexual assault, robbery, and aggravated assault.",0.175681833039158
"7","Male","White","Serious violent crime","2006",422990,64439.1," Includes rape, sexual assault, robbery, and aggravated assault.",0.152341899335682
"8","Male","White","Serious violent crime","2007",338420,55714.5," Includes rape, sexual assault, robbery, and aggravated assault.",0.164631227468826
"9","Male","White","Serious violent crime","2008",204040,45674.9," Includes rape, sexual assault, robbery, and aggravated assault.",0.223852675945893
"10","Male","White","Serious violent crime","2009",245670,53361.9," Includes rape, sexual assault, robbery, and aggravated assault.",0.217209671510563
"11","Male","White","Serious violent crime","2010",210560,45098.3," Includes rape, sexual assault, robbery, and aggravated assault.",0.214182655775076
"12","Male","White","Serious violent crime","2011",222950,42825.1," Includes rape, sexual assault, robbery, and aggravated assault.",0.192083875308365
"13","Male","White","Serious violent crime","2012",221060,41480.8," Includes rape, sexual assault, robbery, and aggravated assault.",0.187644983262463
"14","Male","Black","Serious violent crime","2000",51710,16061.3," Includes rape, sexual assault, robbery, and aggravated assault.",0.310603364919745
"15","Male","Black","Serious violent crime","2001",80860,21006.3," Includes rape, sexual assault, robbery, and aggravated assault.",0.259786049962899
"16","Male","Black","Serious violent crime","2002",37030,13237.5,"Interpret with caution. Estimate based on 10 or fewer sample cases, or coefficient of variation is greater than 50 percent. Includes rape, sexual assault, robbery, and aggravated assault.",0.357480421280043
"17","Male","Black","Serious violent crime","2003",32720,12513.7,"Interpret with caution. Estimate based on 10 or fewer sample cases, or coefficient of variation is greater than 50 percent. Includes rape, sexual assault, robbery, and aggravated assault.",0.38244804400978
"18","Male","Black","Serious violent crime","2004",70840,19496.4," Includes rape, sexual assault, robbery, and aggravated assault.",0.275217391304348
"19","Male","Black","Serious violent crime","2005",56210,18278.9,"Interpret with caution. Estimate based on 10 or fewer sample cases, or coefficient of variation is greater than 50 percent. Includes rape, sexual assault, robbery, and aggravated assault.",0.32518946806618
"20","Male","Black","Serious violent crime","2006",109220,26946.1," Includes rape, sexual assault, robbery, and aggravated assault.",0.246713971800037
"21","Male","Black","Serious violent crime","2007",14280,5546.3,"Interpret with caution. Estimate based on 10 or fewer sample cases, or coefficient of variation is greater than 50 percent. Includes rape, sexual assault, robbery, and aggravated assault.",0.388396358543417
"22","Male","Black","Serious violent crime","2008",59180,21572,"Interpret with caution. Estimate based on 10 or fewer sample cases, or coefficient of variation is greater than 50 percent. Includes rape, sexual assault, robbery, and aggravated assault.",0.364515038864481
"23","Male","Black","Serious violent crime","2009",84940,26605.2," Includes rape, sexual assault, robbery, and aggravated assault.",0.313223451848364
"24","Male","Black","Serious violent crime","2010",44970,15834.1,"Interpret with caution. Estimate based on 10 or fewer sample cases, or coefficient of variation is greater than 50 percent. Includes rape, sexual assault, robbery, and aggravated assault.",0.352103624638648
"25","Male","Black","Serious violent crime","2011",42630,14513.8,"Interpret with caution. Estimate based on 10 or fewer sample cases, or coefficient of variation is greater than 50 percent. Includes rape, sexual assault, robbery, and aggravated assault.",0.340459770114942
"26","Male","Black","Serious violent crime","2012",51020,17189.9," Includes rape, sexual assault, robbery, and aggravated assault.",0.336924735397883
"27","Male","Hispanic","Serious violent crime","2000",152510,32618.4," Includes rape, sexual assault, robbery, and aggravated assault.",0.213877122811619
"28","Male","Hispanic","Serious violent crime","2001",157730,31997," Includes rape, sexual assault, robbery, and aggravated assault.",0.202859316553604
"29","Male","Hispanic","Serious violent crime","2002",91500,24124.5," Includes rape, sexual assault, robbery, and aggravated assault.",0.263655737704918
"30","Male","Hispanic","Serious violent crime","2003",94000,24291.6," Includes rape, sexual assault, robbery, and aggravated assault.",0.258421276595745
"31","Male","Hispanic","Serious violent crime","2004",92000,22848.4," Includes rape, sexual assault, robbery, and aggravated assault.",0.248352173913043
"32","Male","Hispanic","Serious violent crime","2005",162910,35664.8," Includes rape, sexual assault, robbery, and aggravated assault.",0.21892333190105
"33","Male","Hispanic","Serious violent crime","2006",117820,28258," Includes rape, sexual assault, robbery, and aggravated assault.",0.239840434561195
"34","Male","Hispanic","Serious violent crime","2007",161750,32425.8," Includes rape, sexual assault, robbery, and aggravated assault.",0.200468624420402
"35","Male","Hispanic","Serious violent crime","2008",130930,34735," Includes rape, sexual assault, robbery, and aggravated assault.",0.265294432139311
"36","Male","Hispanic","Serious violent crime","2009",109840,31401.7," Includes rape, sexual assault, robbery, and aggravated assault.",0.285885833940277
"37","Male","Hispanic","Serious violent crime","2010",44630,15754.1," Includes rape, sexual assault, robbery, and aggravated assault.",0.352993502128613
"38","Male","Hispanic","Serious violent crime","2011",126840,29381," Includes rape, sexual assault, robbery, and aggravated assault.",0.231638284452854
"39","Male","Hispanic","Serious violent crime","2012",107760,26738.3," Includes rape, sexual assault, robbery, and aggravated assault.",0.248128247958426
"40","Female","White","Serious violent crime","2000",393390,62005.9," Includes rape, sexual assault, robbery, and aggravated assault.",0.157619410762856
"41","Female","White","Serious violent crime","2001",441950,62619," Includes rape, sexual assault, robbery, and aggravated assault.",0.141687973752687
"42","Female","White","Serious violent crime","2002",414750,68293.2," Includes rape, sexual assault, robbery, and aggravated assault.",0.164661121157324
"43","Female","White","Serious violent crime","2003",450300,68587.4," Includes rape, sexual assault, robbery, and aggravated assault.",0.152314901176993
"44","Female","White","Serious violent crime","2004",374550,55336.6," Includes rape, sexual assault, robbery, and aggravated assault.",0.147741556534508
"45","Female","White","Serious violent crime","2005",300490,53116.6," Includes rape, sexual assault, robbery, and aggravated assault.",0.176766614529602
"46","Female","White","Serious violent crime","2006",543360,76071," Includes rape, sexual assault, robbery, and aggravated assault.",0.140001104240283
"47","Female","White","Serious violent crime","2007",470540,70926.8," Includes rape, sexual assault, robbery, and aggravated assault.",0.150734900327284
"48","Female","White","Serious violent crime","2008",377300,67340," Includes rape, sexual assault, robbery, and aggravated assault.",0.17847866419295
"49","Female","White","Serious violent crime","2009",278610,58051.8," Includes rape, sexual assault, robbery, and aggravated assault.",0.208362226768601
"50","Female","White","Serious violent crime","2010",436350,75022.5," Includes rape, sexual assault, robbery, and aggravated assault.",0.17193193537298
"51","Female","White","Serious violent crime","2011",295510,51828," Includes rape, sexual assault, robbery, and aggravated assault.",0.175384927752022
"52","Female","White","Serious violent crime","2012",358950,56231.8," Includes rape, sexual assault, robbery, and aggravated assault.",0.156656358824349
"53","Female","Black","Serious violent crime","2000",315840,53353.6," Includes rape, sexual assault, robbery, and aggravated assault.",0.168926038500507
"54","Female","Black","Serious violent crime","2001",224030,40102.3," Includes rape, sexual assault, robbery, and aggravated assault.",0.179004151229746
"55","Female","Black","Serious violent crime","2002",321820,57209.9," Includes rape, sexual assault, robbery, and aggravated assault.",0.177769871356659
"56","Female","Black","Serious violent crime","2003",152330,33243.5," Includes rape, sexual assault, robbery, and aggravated assault.",0.218233440556686
